Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-07,3.263,3.283,3.207,3.226,13733856,0,0
2020-07-08,3.187,3.196,3.106,3.119,16942890,0,0
2020-07-09,3.149,3.165,3.06,3.075,13381319,0,0
2020-07-10,3.047,3.162,3.026,3.146,14636062,0,0
2020-07-13,3.21,3.233,3.15,3.205,12503611,0,0
2020-07-14,3.179,3.207,3.117,3.169,25788558,0,0
2020-07-15,3.205,3.283,3.109,3.25,25052616,0,0
2020-07-16,3.25,3.283,3.216,3.262,18978272,0,0
2020-07-17,3.263,3.265,3.178,3.216,25230197,0,0
2020-07-20,3.204,3.205,3.133,3.194,21218952,0,0
2020-07-21,3.23,3.319,3.163,3.183,20638470,0,0
2020-07-22,3.197,3.229,3.15,3.183,13854951,0,0
2020-07-23,3.2,3.206,3.122,3.142,19126208,0,0
2020-07-24,3.11,3.157,3.098,3.117,12242914,0,0
2020-07-27,3.104,3.107,2.992,3.018,18811032,0,0
2020-07-28,3.024,3.09,3.005,3.047,17016250,0,0
2020-07-29,3.05,3.056,2.875,2.935,19798424,0,0
2020-07-30,2.905,2.905,2.632,2.698,45680871,0,0
2020-07-31,2.714,2.74,2.637,2.637,32180881,0,0
2020-08-03,2.617,2.728,2.584,2.724,32136378,0,0
2020-08-04,2.751,2.829,2.722,2.775,42763094,0,0
2020-08-05,2.796,2.821,2.661,2.666,23357146,0,0
2020-08-06,2.66,2.7,2.582,2.604,30310792,0,0
2020-08-07,2.569,2.592,2.462,2.525,36807929,0,0
2020-08-10,2.575,2.617,2.524,2.578,19297851,0,0
2020-08-11,2.607,2.695,2.605,2.695,27500015,0,0
2020-08-12,2.698,2.762,2.63,2.633,24448505,0,0
2020-08-13,2.61,2.674,2.555,2.56,17966665,0,0
2020-08-14,2.551,2.551,2.436,2.527,32828742,0,0
2020-08-17,2.527,2.556,2.482,2.515,28207855,0,0
2020-08-18,2.517,2.557,2.464,2.478,16487572,0,0
2020-08-19,2.47,2.553,2.458,2.553,14459757,0,0
2020-08-20,2.49,2.498,2.448,2.464,19486563,0,0
2020-08-21,2.485,2.488,2.388,2.426,24478176,0,0
2020-08-24,2.453,2.484,2.415,2.484,15737392,0,0
2020-08-25,2.51,2.584,2.503,2.505,28033585,0,0
2020-08-26,2.491,2.57,2.48,2.541,26362807,0,0
2020-08-27,2.525,2.545,2.466,2.534,18903141,0,0
2020-08-28,2.557,2.629,2.546,2.6,25572592,0,0
2020-08-31,2.62,2.631,2.449,2.453,22978657,0,0
2020-09-01,2.497,2.5,2.42,2.463,26992987,0,0
2020-09-02,2.458,2.477,2.372,2.383,32243565,0,0
2020-09-03,2.417,2.505,2.406,2.43,29290543,0,0
2020-09-04,2.456,2.592,2.445,2.557,44375592,0,0
2020-09-07,2.591,2.617,2.502,2.525,21003630,0,0
2020-09-08,2.526,2.578,2.475,2.489,39311995,0,0
2020-09-09,2.489,2.524,2.457,2.517,35711121,0,0
2020-09-10,2.518,2.547,2.471,2.514,20558020,0,0
2020-09-11,2.501,2.503,2.429,2.435,28056586,0,0
2020-09-14,2.464,2.499,2.427,2.49,20739239,0,0
2020-09-15,2.467,2.476,2.4,2.413,28192961,0,0
2020-09-16,2.412,2.43,2.351,2.429,29897626,0,0
2020-09-17,2.391,2.435,2.341,2.418,39641009,0,0
2020-09-18,2.405,2.413,2.298,2.311,257015411,0,0
2020-09-21,2.289,2.289,2.15,2.164,49644366,0,0
2020-09-22,2.204,2.226,2.146,2.16,40053620,0,0
2020-09-23,2.199,2.279,2.168,2.169,33874378,0,0
2020-09-24,2.15,2.295,2.128,2.284,46041399,0,0
2020-09-25,2.312,2.389,2.288,2.292,43011501,0,0
2020-09-28,2.344,2.384,2.314,2.384,24076205,0,0
2020-09-29,2.372,2.372,2.321,2.331,30942847,0,0
2020-09-30,2.293,2.416,2.279,2.372,21108468,0,0
2020-10-01,2.401,2.42,2.355,2.377,23103868,0,0
2020-10-02,2.342,2.394,2.316,2.378,16177858,0,0
